Date,Price,Item
01/02/2013,2.73653,Butter
01/02/2013,0.61103,Dog Food
01/02/2013,2.792823,Eggs
01/02/2013,1.668095,Kitchen Roll
01/02/2013,1.454735,Soap
01/02/2013,2.014783,Tampons
01/02/2013,1.657535,Toothpaste
01/03/2013,2.693421,Butter
01/03/2013,0.6135294,Dog Food
01/03/2013,2.694576,Eggs
01/03/2013,1.685197,Kitchen Roll
01/03/2013,1.528865,Soap
01/03/2013,2.00738,Tampons
01/03/2013,1.673537,Toothpaste
01/04/2013,2.836916,Butter
01/04/2013,0.6064435,Dog Food
01/04/2013,2.72264,Eggs
01/04/2013,1.71694,Kitchen Roll
01/04/2013,1.483649,Soap
01/04/2013,2.037619,Tampons
01/04/2013,1.692569,Toothpaste
01/05/2013,2.77136,Butter
01/05/2013,0.6058159,Dog Food
01/05/2013,2.74126,Eggs
01/05/2013,1.691259,Kitchen Roll
01/05/2013,1.458227,Soap
01/05/2013,2.02875,Tampons
01/05/2013,1.664225,Toothpaste
01/06/2013,2.801044,Butter
01/06/2013,0.6015481,Dog Food
01/06/2013,2.68687,Eggs
01/06/2013,1.691259,Kitchen Roll
01/06/2013,1.539481,Soap
01/06/2013,2.036597,Tampons
01/06/2013,1.730422,Toothpaste
01/07/2013,2.716201,Butter
01/07/2013,0.6078542,Dog Food
01/07/2013,2.691783,Eggs
01/07/2013,1.68637,Kitchen Roll
01/07/2013,1.485695,Soap
01/07/2013,2.032605,Tampons
01/07/2013,1.602937,Toothpaste
01/08/2013,2.80587,Butter
01/08/2013,0.6053846,Dog Food
01/08/2013,2.726308,Eggs
01/08/2013,1.651812,Kitchen Roll
01/08/2013,1.497094,Soap
01/08/2013,1.996735,Tampons
01/08/2013,1.66763,Toothpaste
01/09/2013,2.812217,Butter
01/09/2013,0.6003226,Dog Food
01/09/2013,2.768077,Eggs
01/09/2013,1.754478,Kitchen Roll
01/09/2013,1.578979,Soap
01/09/2013,2.088455,Tampons
01/09/2013,1.686154,Toothpaste
01/10/2013,2.840727,Butter
01/10/2013,0.6135484,Dog Food
01/10/2013,2.788496,Eggs
01/10/2013,1.705778,Kitchen Roll
01/10/2013,1.46674,Soap
01/10/2013,2.01412,Tampons
01/10/2013,1.686875,Toothpaste
01/11/2013,2.744846,Butter
01/11/2013,0.6123887,Dog Food
01/11/2013,2.763158,Eggs
01/11/2013,1.743258,Kitchen Roll
01/11/2013,1.503018,Soap
01/11/2013,2.08253,Tampons
01/11/2013,1.728227,Toothpaste
01/12/2013,2.787401,Butter
01/12/2013,0.6132661,Dog Food
01/12/2013,2.835481,Eggs
01/12/2013,1.777333,Kitchen Roll
01/12/2013,1.390762,Soap
01/12/2013,2.141166,Tampons
01/12/2013,1.744126,Toothpaste
01/01/2014,2.807031,Butter
01/01/2014,0.6097177,Dog Food
01/01/2014,2.844511,Eggs
01/01/2014,1.74072,Kitchen Roll
01/01/2014,1.446211,Soap
01/01/2014,2.064153,Tampons
01/01/2014,1.809071,Toothpaste
01/02/2014,3.077149,Butter
01/02/2014,0.6025403,Dog Food
01/02/2014,2.838828,Eggs
01/02/2014,1.712137,Kitchen Roll
01/02/2014,1.499865,Soap
01/02/2014,2.057033,Tampons
01/02/2014,1.863206,Toothpaste
01/03/2014,3.035537,Butter
01/03/2014,0.6076326,Dog Food
01/03/2014,2.792636,Eggs
01/03/2014,1.736045,Kitchen Roll
01/03/2014,1.417545,Soap
01/03/2014,2.070691,Tampons
01/03/2014,1.709172,Toothpaste
01/04/2014,2.989739,Butter
01/04/2014,0.6082186,Dog Food
01/04/2014,2.683033,Eggs
01/04/2014,1.791985,Kitchen Roll
01/04/2014,1.430444,Soap
01/04/2014,2.031745,Tampons
01/04/2014,1.782308,Toothpaste
01/05/2014,2.990129,Butter
01/05/2014,0.6076923,Dog Food
01/05/2014,2.510726,Eggs
01/05/2014,1.757612,Kitchen Roll
01/05/2014,1.480513,Soap
01/05/2014,1.99744,Tampons
01/05/2014,1.767786,Toothpaste
01/06/2014,3.048485,Butter
01/06/2014,0.6076518,Dog Food
01/06/2014,2.54864,Eggs
01/06/2014,1.672672,Kitchen Roll
01/06/2014,1.408276,Soap
01/06/2014,1.984675,Tampons
01/06/2014,1.881095,Toothpaste
01/07/2014,3.013462,Butter
01/07/2014,0.6071837,Dog Food
01/07/2014,2.584409,Eggs
01/07/2014,1.731846,Kitchen Roll
01/07/2014,1.442424,Soap
01/07/2014,1.988715,Tampons
01/07/2014,1.791655,Toothpaste
01/08/2014,3.008,Butter
01/08/2014,0.6053252,Dog Food
01/08/2014,2.512302,Eggs
01/08/2014,1.720077,Kitchen Roll
01/08/2014,1.403484,Soap
01/08/2014,2.00596,Tampons
01/08/2014,1.86087,Toothpaste
01/09/2014,2.964596,Butter
01/09/2014,0.612898,Dog Food
01/09/2014,2.60256,Eggs
01/09/2014,1.745522,Kitchen Roll
01/09/2014,1.479123,Soap
01/09/2014,2.029323,Tampons
01/09/2014,1.945524,Toothpaste
01/10/2014,3.036352,Butter
01/10/2014,0.6152675,Dog Food
01/10/2014,2.58907,Eggs
01/10/2014,1.695267,Kitchen Roll
01/10/2014,1.454823,Soap
01/10/2014,1.97972,Tampons
01/10/2014,1.796111,Toothpaste
01/11/2014,2.950213,Butter
01/11/2014,0.615935,Dog Food
01/11/2014,2.523809,Eggs
01/11/2014,1.711705,Kitchen Roll
01/11/2014,1.409241,Soap
01/11/2014,1.930726,Tampons
01/11/2014,1.774966,Toothpaste
01/12/2014,3.042936,Butter
01/12/2014,0.6122449,Dog Food
01/12/2014,2.529173,Eggs
01/12/2014,1.601894,Kitchen Roll
01/12/2014,1.479432,Soap
01/12/2014,1.972379,Tampons
01/12/2014,1.722635,Toothpaste
01/01/2015,2.901515,Butter
01/01/2015,0.61112,Dog Food
01/01/2015,2.477239,Eggs
01/01/2015,1.698168,Kitchen Roll
01/01/2015,1.474914,Soap
01/01/2015,1.968835,Tampons
01/01/2015,1.730261,Toothpaste
01/02/2015,2.94177,Butter
01/02/2015,0.6184615,Dog Food
01/02/2015,2.353858,Eggs
01/02/2015,1.647565,Kitchen Roll
01/02/2015,1.466769,Soap
01/02/2015,1.932163,Tampons
01/02/2015,1.802467,Toothpaste
01/03/2015,2.845065,Butter
01/03/2015,0.6183871,Dog Food
01/03/2015,2.33803,Eggs
01/03/2015,1.701613,Kitchen Roll
01/03/2015,1.463835,Soap
01/03/2015,1.961392,Tampons
01/03/2015,1.888954,Toothpaste
01/04/2015,2.94308,Butter
01/04/2015,0.6274152,Dog Food
01/04/2015,2.375652,Eggs
01/04/2015,1.586765,Kitchen Roll
01/04/2015,1.439875,Soap
01/04/2015,1.972588,Tampons
01/04/2015,1.778182,Toothpaste
01/05/2015,3.098067,Butter
01/05/2015,0.6244664,Dog Food
01/05/2015,2.390365,Eggs
01/05/2015,1.612168,Kitchen Roll
01/05/2015,1.449264,Soap
01/05/2015,1.970279,Tampons
01/05/2015,1.733935,Toothpaste
01/06/2015,2.946907,Butter
01/06/2015,0.6276078,Dog Food
01/06/2015,2.364029,Eggs
01/06/2015,1.638881,Kitchen Roll
01/06/2015,1.260215,Soap
01/06/2015,1.958889,Tampons
01/06/2015,1.828938,Toothpaste
01/07/2015,2.882059,Butter
01/07/2015,0.623913,Dog Food
01/07/2015,2.326744,Eggs
01/07/2015,1.643429,Kitchen Roll
01/07/2015,1.500814,Soap
01/07/2015,1.983028,Tampons
01/07/2015,1.771933,Toothpaste
01/08/2015,2.948517,Butter
01/08/2015,0.624502,Dog Food
01/08/2015,2.318636,Eggs
01/08/2015,1.591608,Kitchen Roll
01/08/2015,1.40187,Soap
01/08/2015,1.953306,Tampons
01/08/2015,1.773399,Toothpaste
01/09/2015,3.004477,Butter
01/09/2015,0.6226104,Dog Food
01/09/2015,2.332206,Eggs
01/09/2015,1.656479,Kitchen Roll
01/09/2015,1.384477,Soap
01/09/2015,1.990643,Tampons
01/09/2015,1.906834,Toothpaste
01/10/2015,2.717215,Butter
01/10/2015,0.6232389,Dog Food
01/10/2015,2.339771,Eggs
01/10/2015,1.615294,Kitchen Roll
01/10/2015,1.478613,Soap
01/10/2015,1.975959,Tampons
01/10/2015,1.865827,Toothpaste
01/11/2015,3.012134,Butter
01/11/2015,0.6269106,Dog Food
01/11/2015,2.355827,Eggs
01/11/2015,1.657887,Kitchen Roll
01/11/2015,1.351303,Soap
01/11/2015,1.959757,Tampons
01/11/2015,1.700779,Toothpaste
01/12/2015,2.990917,Butter
01/12/2015,0.6269879,Dog Food
01/12/2015,2.354361,Eggs
01/12/2015,1.627612,Kitchen Roll
01/12/2015,1.401942,Soap
01/12/2015,2.017889,Tampons
01/12/2015,1.726225,Toothpaste
01/01/2016,2.821102,Butter
01/01/2016,0.6283936,Dog Food
01/01/2016,2.340075,Eggs
01/01/2016,1.62539,Kitchen Roll
01/01/2016,1.320252,Soap
01/01/2016,2.023551,Tampons
01/01/2016,1.766282,Toothpaste
01/02/2016,2.910388,Butter
01/02/2016,0.6155918,Dog Food
01/02/2016,2.326593,Eggs
01/02/2016,1.655926,Kitchen Roll
01/02/2016,1.27169,Soap
01/02/2016,2.013361,Tampons
01/02/2016,1.69413,Toothpaste
01/03/2016,2.795823,Butter
01/03/2016,0.6203404,Dog Food
01/03/2016,2.134348,Eggs
01/03/2016,1.690072,Kitchen Roll
01/03/2016,1.368894,Soap
01/03/2016,1.959921,Tampons
01/03/2016,1.713986,Toothpaste
01/04/2016,2.868833,Butter
01/04/2016,0.6208979,Dog Food
01/04/2016,2.140145,Eggs
01/04/2016,1.590588,Kitchen Roll
01/04/2016,1.385281,Soap
01/04/2016,1.963518,Tampons
01/04/2016,1.844966,Toothpaste
01/05/2016,2.865504,Butter
01/05/2016,0.63188,Dog Food
01/05/2016,2.132174,Eggs
01/05/2016,1.613015,Kitchen Roll
01/05/2016,1.402381,Soap
01/05/2016,1.986587,Tampons
01/05/2016,1.617483,Toothpaste
01/06/2016,2.761949,Butter
01/06/2016,0.6268163,Dog Food
01/06/2016,2.048284,Eggs
01/06/2016,1.614733,Kitchen Roll
01/06/2016,1.295796,Soap
01/06/2016,1.974388,Tampons
01/06/2016,1.668451,Toothpaste
01/07/2016,2.786176,Butter
01/07/2016,0.6283193,Dog Food
01/07/2016,2.035303,Eggs
01/07/2016,1.634234,Kitchen Roll
01/07/2016,1.365132,Soap
01/07/2016,2.025982,Tampons
01/07/2016,1.79304,Toothpaste
01/08/2016,2.742255,Butter
01/08/2016,0.6058996,Dog Food
01/08/2016,2.064776,Eggs
01/08/2016,1.585435,Kitchen Roll
01/08/2016,1.276062,Soap
01/08/2016,2.008356,Tampons
01/08/2016,1.746,Toothpaste
01/09/2016,2.706667,Butter
01/09/2016,0.6154853,Dog Food
01/09/2016,2.08036,Eggs
01/09/2016,1.586454,Kitchen Roll
01/09/2016,1.447932,Soap
01/09/2016,2.014545,Tampons
01/09/2016,1.62036,Toothpaste
01/10/2016,2.703554,Butter
01/10/2016,0.6281624,Dog Food
01/10/2016,2.013443,Eggs
01/10/2016,1.593379,Kitchen Roll
01/10/2016,1.366709,Soap
01/10/2016,1.958943,Tampons
01/10/2016,1.802397,Toothpaste
01/11/2016,2.782857,Butter
01/11/2016,0.6200851,Dog Food
01/11/2016,2.077068,Eggs
01/11/2016,1.553788,Kitchen Roll
01/11/2016,1.371441,Soap
01/11/2016,1.984096,Tampons
01/11/2016,1.695973,Toothpaste
01/12/2016,2.838861,Butter
01/12/2016,0.6075833,Dog Food
01/12/2016,2.088667,Eggs
01/12/2016,1.522714,Kitchen Roll
01/12/2016,1.363557,Soap
01/12/2016,1.994213,Tampons
01/12/2016,1.739803,Toothpaste
01/01/2017,2.916219,Butter
01/01/2017,0.6245041,Dog Food
01/01/2017,2.092446,Eggs
01/01/2017,1.629929,Kitchen Roll
01/01/2017,1.346822,Soap
01/01/2017,1.971417,Tampons
01/01/2017,1.707067,Toothpaste
01/02/2017,2.83105,Butter
01/02/2017,0.6500966,Dog Food
01/02/2017,2.109111,Eggs
01/02/2017,1.598889,Kitchen Roll
01/02/2017,1.35625,Soap
01/02/2017,2.014915,Tampons
01/02/2017,1.683556,Toothpaste
01/03/2017,2.821297,Butter
01/03/2017,0.6493304,Dog Food
01/03/2017,2.104519,Eggs
01/03/2017,1.5975,Kitchen Roll
01/03/2017,1.252949,Soap
01/03/2017,2.01755,Tampons
01/03/2017,1.638355,Toothpaste
01/04/2017,2.762645,Butter
01/04/2017,0.6535135,Dog Food
01/04/2017,2.11203,Eggs
01/04/2017,1.640584,Kitchen Roll
01/04/2017,1.319068,Soap
01/04/2017,2.102941,Tampons
01/04/2017,1.626104,Toothpaste
01/05/2017,2.782025,Butter
01/05/2017,0.643149,Dog Food
01/05/2017,2.102344,Eggs
01/05/2017,1.531527,Kitchen Roll
01/05/2017,1.243,Soap
01/05/2017,2.032964,Tampons
01/05/2017,1.606026,Toothpaste
01/06/2017,2.843652,Butter
01/06/2017,0.6317695,Dog Food
01/06/2017,2.123008,Eggs
01/06/2017,1.603651,Kitchen Roll
01/06/2017,1.3175,Soap
01/06/2017,2.10582,Tampons
01/06/2017,1.647039,Toothpaste
01/07/2017,2.784792,Butter
01/07/2017,0.6369396,Dog Food
01/07/2017,2.090672,Eggs
01/07/2017,1.486139,Kitchen Roll
01/07/2017,1.277155,Soap
01/07/2017,2.098889,Tampons
01/07/2017,1.541655,Toothpaste
01/08/2017,2.840042,Butter
01/08/2017,0.6473611,Dog Food
01/08/2017,2.087259,Eggs
01/08/2017,1.542157,Kitchen Roll
01/08/2017,1.268502,Soap
01/08/2017,1.98772,Tampons
01/08/2017,1.601053,Toothpaste
01/09/2017,3.005063,Butter
01/09/2017,0.6330131,Dog Food
01/09/2017,2.112878,Eggs
01/09/2017,1.581101,Kitchen Roll
01/09/2017,1.279386,Soap
01/09/2017,2.028976,Tampons
01/09/2017,1.551594,Toothpaste
01/10/2017,3.129198,Butter
01/10/2017,0.6480786,Dog Food
01/10/2017,2.107319,Eggs
01/10/2017,1.668823,Kitchen Roll
01/10/2017,1.311603,Soap
01/10/2017,2.006694,Tampons
01/10/2017,1.686154,Toothpaste
01/11/2017,3.24614,Butter
01/11/2017,0.6475862,Dog Food
01/11/2017,2.11292,Eggs
01/11/2017,1.78062,Kitchen Roll
01/11/2017,1.223822,Soap
01/11/2017,1.943347,Tampons
01/11/2017,1.585448,Toothpaste
01/12/2017,3.252218,Butter
01/12/2017,0.640678,Dog Food
01/12/2017,2.124307,Eggs
01/12/2017,1.8555,Kitchen Roll
01/12/2017,1.243264,Soap
01/12/2017,1.989167,Tampons
01/12/2017,1.57438,Toothpaste
01/01/2018,3.123708,Butter
01/01/2018,0.6455328,Dog Food
01/01/2018,2.125809,Eggs
01/01/2018,1.792734,Kitchen Roll
01/01/2018,1.28566,Soap
01/01/2018,1.911532,Tampons
01/01/2018,1.574371,Toothpaste
01/02/2018,3.154635,Butter
01/02/2018,0.6471428,Dog Food
01/02/2018,2.074029,Eggs
01/02/2018,1.76194,Kitchen Roll
01/02/2018,1.289138,Soap
01/02/2018,1.912066,Tampons
01/02/2018,1.569371,Toothpaste
01/03/2018,3.14789,Butter
01/03/2018,0.6685514,Dog Food
01/03/2018,2.073864,Eggs
01/03/2018,1.823116,Kitchen Roll
01/03/2018,1.271645,Soap
01/03/2018,1.924026,Tampons
01/03/2018,1.585753,Toothpaste
01/04/2018,3.095353,Butter
01/04/2018,0.6404167,Dog Food
01/04/2018,2.036715,Eggs
01/04/2018,1.766842,Kitchen Roll
01/04/2018,1.311042,Soap
01/04/2018,1.905085,Tampons
01/04/2018,1.62274,Toothpaste
01/05/2018,3.237721,Butter
01/05/2018,0.6464444,Dog Food
01/05/2018,2.037571,Eggs
01/05/2018,1.871449,Kitchen Roll
01/05/2018,1.320422,Soap
01/05/2018,1.883305,Tampons
01/05/2018,1.614138,Toothpaste
01/06/2018,3.101289,Butter
